group,family,channel,sigma_psf_screen_px,d_rec_screen_px,symRes,sub_screen_px,symCellPx_screen_px,colCellPx_screen_px,colorBits,colorFmt,calibMode,denseN,winFrac,pilotSide_screen_px,frames,bitsPerCell,cellErrRate,bitErrRate,rsBlockFail,fileSuccess,meets,calibOverhead,netThroughput_bit_per_screenpx2,effectiveRate_MBps
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),无,0,1,,1,2,0.526,0.3865,1,0,false,0,0.2222222222222222,1.7279999999999998
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),四角,0,0.3333333333333333,,1,2,0.0003333333333333333,0.00016666666666666666,0,1,true,0,0.2222222222222222,1.7279999999999998
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),四角,0,0.5,,1,2,0,0,0,1,true,0,0.2222222222222222,1.7279999999999998
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),四角,0,0.6666666666666666,,1,2,0,0,0,1,true,0,0.2222222222222222,1.7279999999999998
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),四角,0,1,,1,2,0.030666666666666665,0.0185,0.9953875360770291,0,false,0,0.2222222222222222,1.7279999999999998
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),密集N=3,3,0.3333333333333333,,1,2,0,0,0,1,true,0.11145833333333334,0.19745370370370371,1.5354000000000003
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),密集N=3,3,0.5,,1,2,0,0,0,1,true,0.11145833333333334,0.19745370370370371,1.5354000000000003
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),密集N=3,3,0.6666666666666666,,1,2,0,0,0,1,true,0.11145833333333334,0.19745370370370371,1.5354000000000003
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),密集N=3,3,1,,1,2,0.009333333333333334,0.004833333333333334,0.00900745819190063,1,true,0.11145833333333334,0.19745370370370371,1.5354000000000003
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),密集N=4,4,0.3333333333333333,,1,2,0,0,0,1,true,0.0625,0.20833333333333334,1.62
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),密集N=4,4,0.5,,1,2,0,0,0,1,true,0.0625,0.20833333333333334,1.62
B,纯颜色型,native,0.520316,3,,,,3,2,2 bit (4色),密集N=4,4,0.6666666666666666,,1,2,0,0,0,1,true,0.0625,0.20833333333333334,1.62
